Titulo,Autor,Ano
Summertime,George Gershwin / DuBose Heyward / Ira Gershwin,1935
Sunny,Bobby Hebb,1966
Sway,Luis Demetrio / Norman Gimbel,1953
Sweet Georgia Brown,Ben Bernie / Maceo Pinkard / Kenneth Casey,1925
Sweet Lorraine,Cliff Burwell / Mitchell Parish,1928
Sweet Sue – Just You,Victor Young / Will J. Harris,1928
Swing 42,Django Reinhardt,
Swing That Music,Louis Armsrong / Horace Gerlach,1936
Take Five,Paul Desmond,1959
Take The “A” Train,Billy Strayhorn / Joya Sherrill / Lee Gaines,1939
Taking A Chance On Love,Vernon Duke / John La Touche / Ted Fetter,1940
Tea for two,Vincent Youmans / Irving Caesar,1924
Teach Me Tonight,Gene De Paul / Sammy Cahn,1953
Teaneck,Nat Adderley,
Tenderly,Walter Gross / Jack Lawrence,1946
That Chick’s Too Young To Fry,Tommy Edwards / Jimmy Hilliard,1945
That’s All,Alan Brandt / Bob Haymes,1952
The Christmas Song,,
Days Of Wine And Roses,Henry Mancini / Johnny Mercer,1962
The Duke,Dave Brubeck,1955
The Girl From Ipanema,Antônio Carlos Jobim / Vinícius de Moraes / Norman Gimbel,1963
The Good Life,Sacha Distel / Jack Reardon,1962
The Gypsy,B. Reed,
The Jody Grind,,
The Lady Is a Tramp,Richard Rodgers / Lorenz Hart,1937
The Man I Love,George Gershwin / Ira Gershwin,1924
The Man That Got Away,Harold Arlen / Ira Gershwin,1953
The Nearness Of You,Carmichael / Ned Washington,1937
The Party’s Over,Betty Comden / Adolph Green / Jule Styne,1956
The Preacher,Horace Silver,1955
The Shadow of Your Smile,Johnny Mandel / Paul Francis Webster,1965
The Shake of Araby,Ted Snyder / Harry B. Smith / Francis Wheeler,1921
The Touch of Your Lips,Ray Noble,1936
The Very Thought of You,Ray Noble,1934
The Way You Look Tonight,Jerome Kern / Dorothy Fields,1936
The world is waiting for the sunrise,Raymond Roberts / Gene Lockhart,1919
The World We Knew (Over and Over),,
Them There Eyes,Maceo Pinkard / Doris Tauber / William Tracey,1930
Theme for Ernie,Fred Lacey,
Then I’ll Be Happy,Cliff Friend / Lew Brown / Sidney Clare,1925
There Is No Greater Love,,
There will never be another you,1942- Harry Warren / Mack Gordon,
There’ll Be Some Changes Made,Benton Overstreet / Billy Higgins,1921
These Foolish Things,Jack Strachey / Harry Link / Eric Maschwitz,1935
They Call It Stormy Monday,Aaron Walker a.k.a. T-Bone Walker,1947
They Can’t Take That Away From Me,George Gershwin / Ira Gershwin,1937
Things Ain’t What They Used To Be,Mercer Ellington / Ted Persons,1942
This Love of Mine,Sol Parker / Henry Sanicola / Frank Sinatra,1941
This Masquerade,Leon Russell,1972
Three O’Clock in the Morning,Dorothy Terriss / Julian Robledo,1919
Till There Was You,Meredith Wilson,1950
Tin Roof Blues,George Brunies / Paul Mares / Ben Pollack / Leon Roppolo / Mel Stitzel / Walter Melrose,1923
Tombe la neige,Salvatore Adamo,1963
Too Many Tears,Harry Warren / Dublin,1932
"Toot, Toot, Tootsie (Goo’ Bye!)",Gus Kahn / Ernie Erdman / Danny Russo,1922
Triste,Antônio Carlos Jobim,1966
Tuxedo Junction,Erskine Hawkins / Bill Johnson / Julian Dash / Buddy Feyne,1939
Twelfth Street Rag,Euday L. Bowman,1914
Two for the Road,,
Улыбка,,
Un homme et une femme,,
Unchained Melody,,
Undecided,Sid Robin / Charlie Shavers,1938
Une vie d’amour,Georges Garvarentz / Charles Aznavour,1981
Unforgettable,Irving Gordon,1951
Up a Lazy River,Hoagy Carmichael / Sidney Arodin,1930
Up Jumped Spring,,
Va Bank,Henryk Kuzniak,1981
Veja Bem Meu Bem,,
Virgo,,
Visa från Utanmyra,,
Volare,,
Voyage,,
Walkin’ My Baby Back Home,Fred E. Ahlert / Roy Turk,1930
Washington & Lee Swing,Mark W. Sheafe / Thornton W. Allen / Clarence A. (Tod) Robbins,1910
Watermelon Man,,
Wave,Antonio Carlos Jobim,1967
Way down yonder in New Orleans,Joe Turner Layton / Henry Creamer,1922
"Well, You Needn’t",Thelonious Monk,1944
What a diff’rence a day made,María Grever / Stanley Adams,1934
